,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere
0,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 124fcabc3f64413c865becd249d73e9e,105,45,1,0.7548084000000017,618,6,2,3,0.998,0.226
1,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 83654771c1114cafb612e26a62e2b14c,104,61,1,1.732631099999999,1236,10,3,4,0.99,0.322
2,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 7a384019103c4a01943198cbcef08a01,102,55,1,1.3518895999999998,930,9,2,3,0.983,0.161
3,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - c5183cd3ff004e708147ae7db0418301,90,41,1,0.4743362999999974,315,4,2,2,0.99,0.221
4,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 60fa0c1ca5864255b0446f17abc676b5,100,42,1,0.7999032999999969,747,7,2,3,0.984,0.328
5,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 7d8e8099ea334f6885abf8fcf3522b10,100,40,1,0.6901906000000011,627,6,2,3,0.991,0.212
6,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 8e4f2bf41a7945e995c4ce6930fef37b,96,40,1,0.414091599999999,339,3,2,2,0.991,0.204
7,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 8f00579501d649c895c098b51acea1bb,110,39,1,0.6198463000000061,435,6,2,3,0.997,0.133
8,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 98776dbb3bf641f79afd131c925e14f6,101,54,1,1.4936588999999998,1377,11,2,3,0.988,0.359
9,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - c08c65f764564c5d9add11e192084f75,98,49,1,1.0142232000000035,702,7,3,3,0.977,0.198
10,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 22a03c528c504baead1331b8a9071257,12,13,1,0.17122089999999446,192,2,1,1,1.0,0.527
11,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - c5909833a8dc41058f3269d0785b7496,12,10,1,0.09754270000000531,153,2,1,1,1.0,0.538
12,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - a842c777b9f14bed8be5d60b8491bc1c,11,11,1,0.24666310000000635,285,4,2,3,1.0,0.292
13,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 7e208cd937534a36ad96c4a0a63ba3ef,12,13,1,0.14819239999999922,207,3,2,2,1.0,0.389
14,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - a525b7132eb14a70975039c5dc65b251,10,11,1,0.19676640000000134,288,3,2,2,1.0,0.575
15,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 8d75279aee3a44cbb33e7f5b09892d51,13,14,1,0.1315523999999897,186,2,1,1,1.0,0.841
16,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 5ac23df5da4447cdb65dfaddf9b2d4f4,12,9,1,0.05531040000001042,75,2,1,1,0.999,0.136
17,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 28efc2e4d3c04becb26f9752f6bfc740,7,5,1,0.08140259999998989,93,2,1,1,1.0,0.123
18,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 3e04883d57bd446a8e5bee1d1feff984,9,5,1,0.0734284000000116,96,2,1,1,1.0,0.703
19,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 61495fab97e3487886ccb558d65710a5,11,11,1,0.2595630000000142,261,4,2,3,0.995,0.385
20,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - d635261ae9b247419cca14f72b2af9b9,21,15,1,0.4522698000000105,384,5,2,3,1.0,0.2
21,QuantNaryTreeLearner_Omit_Zero_Transitions,PDFA - 14902f0e91aa4fb488986e05649480a1,19,12,1,0.11291729999999234,144,2,1,1,1.0,0.233
