,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero,IsMinimal
0,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_750_1,751,530,1,28.253672514110804,19723,99,9,23,1.0,0.046,False,True,True
1,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_750_1,751,530,2,29.351862509036437,19723,99,9,23,1.0,0.046,False,True,True
2,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_750_1,751,530,3,27.899526932043955,19723,99,9,23,1.0,0.046,False,True,True
3,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_750_1,751,530,4,30.310782531974837,19723,99,9,23,1.0,0.046,False,True,True
4,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_750_1,751,530,5,29.91748738102615,19723,99,9,23,1.0,0.046,False,True,True
5,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_750_1,751,530,6,28.714342979015782,19723,99,9,23,1.0,0.046,False,True,True
6,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_750_1,751,530,7,29.882756761973724,19723,99,9,23,1.0,0.046,False,True,True
7,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_750_1,751,530,8,28.83284317003563,19723,99,9,23,1.0,0.046,False,True,True
8,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_750_1,751,530,9,30.203328805975616,19723,99,9,23,1.0,0.046,False,True,True
9,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_750_1,751,530,10,32.02899714396335,19723,99,9,23,1.0,0.046,False,True,True
10,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_1000_7,1001,749,1,77.61688427720219,29502,147,6,23,1.0,0.052,False,True,True
11,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_1000_7,1001,749,2,80.27382906712592,29502,147,6,23,1.0,0.052,False,True,True
12,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_1000_7,1001,749,3,76.69480831897818,29502,147,6,23,1.0,0.052,False,True,True
13,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_1000_7,1001,749,4,80.09681800496764,29502,147,6,23,1.0,0.052,False,True,True
14,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_1000_7,1001,749,5,78.88500818796456,29502,147,6,23,1.0,0.052,False,True,True
15,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_1000_7,1001,749,6,77.570121350931,29502,147,6,23,1.0,0.052,False,True,True
16,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_1000_7,1001,749,7,80.80206429795362,29502,147,6,23,1.0,0.052,False,True,True
17,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_1000_7,1001,749,8,80.30195617908612,29502,147,6,23,1.0,0.052,False,True,True
18,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_1000_7,1001,749,9,79.52469604206271,29502,147,6,23,1.0,0.052,False,True,True
19,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_1000_7,1001,749,10,76.91298439796083,29502,147,6,23,1.0,0.052,False,True,True
20,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_250_5,251,2,1,0.0009352399501949549,22,1,0,0,1.0,0.046,False,True,True
21,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_250_5,251,2,2,0.0009856258984655142,22,1,0,0,1.0,0.046,False,True,True
22,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_250_5,251,2,3,0.0008707288652658463,22,1,0,0,1.0,0.046,False,True,True
23,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_250_5,251,2,4,0.0007974470499902964,22,1,0,0,1.0,0.046,False,True,True
24,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_250_5,251,2,5,0.0007982801180332899,22,1,0,0,1.0,0.046,False,True,True
25,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_250_5,251,2,6,0.0007802830077707767,22,1,0,0,1.0,0.046,False,True,True
