,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero
0,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,98,1,10.239096999999997,831,27,2,3,1.0,0.222,False,True
1,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,98,2,10.450421500000004,831,27,2,3,1.0,0.222,False,True
2,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,98,3,10.673780699999995,831,27,2,3,1.0,0.222,False,True
3,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,98,4,11.1933315,831,27,2,3,1.0,0.222,False,True
4,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,98,5,10.132368900000003,831,27,2,3,1.0,0.222,False,True
5,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,98,6,10.167250499999994,831,27,2,3,1.0,0.222,False,True
6,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,98,7,10.215457599999993,831,27,2,3,1.0,0.222,False,True
7,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,98,8,10.17339100000001,831,27,2,3,1.0,0.222,False,True
8,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,98,9,10.234958500000005,831,27,2,3,1.0,0.222,False,True
9,QuantNaryTreeLearner_Teacher_Filter_exact,PDFA - b9a8668b42344e5fa4d31c6847b2b25b,105,98,10,9.757874299999997,831,27,2,3,1.0,0.222,False,True
