,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero,IsMinimal
0,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_0,101,64,1,0.1189213388133794,1804,8,4,7,1.0,0.052,False,True,True
1,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_0,101,64,2,0.1220469530671835,1804,8,4,7,1.0,0.052,False,True,True
2,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_0,101,64,3,0.128339319024235,1804,8,4,7,1.0,0.052,False,True,True
3,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_0,101,64,4,0.11821837816387415,1804,8,4,7,1.0,0.052,False,True,True
4,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_0,101,64,5,0.11917220894247293,1804,8,4,7,1.0,0.052,False,True,True
5,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_0,101,64,6,0.12238477799110115,1804,8,4,7,1.0,0.052,False,True,True
6,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_0,101,64,7,0.12179758516140282,1804,8,4,7,1.0,0.052,False,True,True
7,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_0,101,64,8,0.12972150114364922,1804,8,4,7,1.0,0.052,False,True,True
8,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_0,101,64,9,0.5371795159298927,1804,8,4,7,1.0,0.052,False,True,True
9,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_0,101,64,10,0.11918122414499521,1804,8,4,7,1.0,0.052,False,True,True
10,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_1,101,71,1,0.19306120602414012,2376,12,6,9,1.0,0.051,False,True,True
11,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_1,101,71,2,0.18104410194791853,2376,12,6,9,1.0,0.051,False,True,True
12,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_1,101,71,3,0.17797811003401875,2376,12,6,9,1.0,0.051,False,True,True
13,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_1,101,71,4,0.18756006192415953,2376,12,6,9,1.0,0.051,False,True,True
14,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_1,101,71,5,0.6015501769725233,2376,12,6,9,1.0,0.051,False,True,True
15,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_1,101,71,6,0.19333756808191538,2376,12,6,9,1.0,0.051,False,True,True
16,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_1,101,71,7,0.1821398341562599,2376,12,6,9,1.0,0.051,False,True,True
17,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_1,101,71,8,0.1815939750522375,2376,12,6,9,1.0,0.051,False,True,True
18,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_1,101,71,9,0.17984558315947652,2376,12,6,9,1.0,0.051,False,True,True
19,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_1,101,71,10,0.18039954197593033,2376,12,6,9,1.0,0.051,False,True,True
20,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_2,101,67,1,0.1333922769408673,2013,6,3,5,1.0,0.051,False,True,True
21,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_2,101,67,2,0.12662584497593343,2013,6,3,5,1.0,0.051,False,True,True
22,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_2,101,67,3,0.6030630532186478,2013,6,3,5,1.0,0.051,False,True,True
23,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_2,101,67,4,0.13765390613116324,2013,6,3,5,1.0,0.051,False,True,True
24,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_2,101,67,5,0.1255359051283449,2013,6,3,5,1.0,0.051,False,True,True
25,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_2,101,67,6,0.12700952007435262,2013,6,3,5,1.0,0.051,False,True,True
26,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_2,101,67,7,0.12715953192673624,2013,6,3,5,1.0,0.051,False,True,True
27,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_2,101,67,8,0.12683999096043408,2013,6,3,5,1.0,0.051,False,True,True
28,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_2,101,67,9,0.12940586917102337,2013,6,3,5,1.0,0.051,False,True,True
29,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_2,101,67,10,0.12757052900269628,2013,6,3,5,1.0,0.051,False,True,True
30,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_3,101,75,1,0.20073884795419872,2343,12,4,10,1.0,0.053,False,True,True
31,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_3,101,75,2,0.6680366250220686,2343,12,4,10,1.0,0.053,False,True,True
32,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_3,101,75,3,0.19259831798262894,2343,12,4,10,1.0,0.053,False,True,True
33,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_3,101,75,4,0.1920426960568875,2343,12,4,10,1.0,0.053,False,True,True
34,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_3,101,75,5,0.19337349198758602,2343,12,4,10,1.0,0.053,False,True,True
35,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_3,101,75,6,0.20209800195880234,2343,12,4,10,1.0,0.053,False,True,True
36,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_3,101,75,7,0.19623612891882658,2343,12,4,10,1.0,0.053,False,True,True
37,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_3,101,75,8,0.19546086387708783,2343,12,4,10,1.0,0.053,False,True,True
38,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_3,101,75,9,0.6596264138352126,2343,12,4,10,1.0,0.053,False,True,True
39,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_3,101,75,10,0.2039931658655405,2343,12,4,10,1.0,0.053,False,True,True
40,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_4,101,60,1,0.1293158030603081,1892,8,4,5,1.0,0.051,False,True,True
41,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_4,101,60,2,0.11344279418699443,1892,8,4,5,1.0,0.051,False,True,True
42,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_4,101,60,3,0.11584024713374674,1892,8,4,5,1.0,0.051,False,True,True
43,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_4,101,60,4,0.116540159098804,1892,8,4,5,1.0,0.051,False,True,True
44,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_4,101,60,5,0.11776405689306557,1892,8,4,5,1.0,0.051,False,True,True
45,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_4,101,60,6,0.11340943002142012,1892,8,4,5,1.0,0.051,False,True,True
46,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_100_4,101,60,7,0.11455369414761662,1892,8,4,5,1.0,0.051,False,True,True
