,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero,IsMinimal
0,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_50_0,47,34,1,0.029704317450523376,531,6,2,3,0.999,0.229,False,False,True
1,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_50_0,47,34,2,0.02829856425523758,531,6,2,3,0.999,0.229,False,False,True
2,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_50_0,47,34,3,0.029890473932027817,531,6,2,3,0.999,0.229,False,False,True
3,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_50_0,47,34,4,0.03161324933171272,531,6,2,3,0.999,0.229,False,False,True
4,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_50_0,47,34,5,0.02891763299703598,531,6,2,3,0.999,0.229,False,False,True
5,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_50_0,47,34,6,0.028467681258916855,531,6,2,3,0.999,0.229,False,False,True
6,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_50_0,47,34,7,0.028974391520023346,531,6,2,3,0.999,0.229,False,False,True
7,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_50_0,47,34,8,0.03240097314119339,531,6,2,3,0.999,0.229,False,False,True
8,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_50_0,47,34,9,0.0292191319167614,531,6,2,3,0.999,0.229,False,False,True
9,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_50_0,47,34,10,0.028376590460538864,531,6,2,3,0.999,0.229,False,False,True
10,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_50_1,55,12,1,0.017698053270578384,369,6,3,3,1.0,0.196,False,True,True
