,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero
0,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_5_4,50,51,1,0.15880871936678886,4917,2,1,1,1.0,0.079,False,True
1,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_5_4,50,51,2,0.15616469085216522,4917,2,1,1,1.0,0.079,False,True
2,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_5_4,50,51,3,0.1548975557088852,4917,2,1,1,1.0,0.079,False,True
3,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_5_4,50,51,4,0.1513574868440628,4917,2,1,1,1.0,0.079,False,True
4,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_5_4,50,51,5,0.16165567189455032,4917,2,1,1,1.0,0.079,False,True
5,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_5_4,50,51,6,0.1525755077600479,4917,2,1,1,1.0,0.079,False,True
6,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_5_4,50,51,7,0.1555010825395584,4917,2,1,1,1.0,0.079,False,True
7,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_5_4,50,51,8,0.15170834213495255,4917,2,1,1,1.0,0.079,False,True
8,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_5_4,50,51,9,0.16349118202924728,4917,2,1,1,1.0,0.079,False,True
9,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_5_4,50,51,10,0.16376829892396927,4917,2,1,1,1.0,0.079,False,True
10,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_3_9,51,52,1,0.1754564233124256,6105,2,1,1,1.0,0.158,False,True
11,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_3_9,51,52,2,0.17425816878676414,6105,2,1,1,1.0,0.158,False,True
12,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_3_9,51,52,3,0.17513014376163483,6105,2,1,1,1.0,0.158,False,True
13,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_3_9,51,52,4,0.36624734476208687,6105,2,1,1,1.0,0.158,False,True
14,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_3_9,51,52,5,0.19567659124732018,6105,2,1,1,1.0,0.158,False,True
15,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_3_9,51,52,6,0.1985090859234333,6105,2,1,1,1.0,0.158,False,True
16,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_3_9,51,52,7,0.19338738545775414,6105,2,1,1,1.0,0.158,False,True
17,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_3_9,51,52,8,0.19304398074746132,6105,2,1,1,1.0,0.158,False,True
18,QuantNaryTreeLearner_Omit_Zero_Transitions,random_PDFA_nominal_size_0_3_9,51,52,9,0.1958714872598648,6105,2,1,1,1.0,0.158,False,True
