,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere,IsEquivalentExact,IsEquivalentOmitZero,IsMinimal
0,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_0,501,452,1,6.936273477971554,30576,8,4,7,1.0,0.057,False,True,True
1,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_0,501,452,2,8.868843510979787,30576,8,4,7,1.0,0.057,False,True,True
2,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_0,501,452,3,7.249268549960107,30576,8,4,7,1.0,0.057,False,True,True
3,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_0,501,452,4,7.1892552769277245,30576,8,4,7,1.0,0.057,False,True,True
4,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_0,501,452,5,9.003745453199372,30576,8,4,7,1.0,0.057,False,True,True
5,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_0,501,452,6,7.260700315935537,30576,8,4,7,1.0,0.057,False,True,True
6,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_0,501,452,7,6.999987765913829,30576,8,4,7,1.0,0.057,False,True,True
7,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_0,501,452,8,8.144375454867259,30576,8,4,7,1.0,0.057,False,True,True
8,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_0,501,452,9,7.158842152915895,30576,8,4,7,1.0,0.057,False,True,True
9,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_0,501,452,10,7.070390667999163,30576,8,4,7,1.0,0.057,False,True,True
10,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_1,501,472,1,8.022675788030028,32445,9,3,6,1.0,0.055,False,True,True
11,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_1,501,472,2,9.021110381931067,32445,9,3,6,1.0,0.055,False,True,True
12,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_1,501,472,3,8.220233578933403,32445,9,3,6,1.0,0.055,False,True,True
13,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_1,501,472,4,7.907562328968197,32445,9,3,6,1.0,0.055,False,True,True
14,QuantNaryTreeLearner_Omit_Zero_Transitions_exact_teacher,random_PDFA_nominal_size_0_9_1,501,472,5,9.91372564388439,32445,9,3,6,1.0,0.055,False,True,True
