Algorithm,Samples,Execution,Generation Time,Sample Time
Outlines,50,0,3.3332631587982178,2.707711935043335
PDFA,50,0,6.685310125350952,0.00924062728881836
GPT2,50,0,0.0,3.4309544563293457
Outlines,1000,0,3.3811440467834473,39.23238444328308
PDFA,1000,0,6.408476829528809,0.13108134269714355
GPT2,1000,0,0.0,72.07150077819824
Outlines,3000,0,3.3529677391052246,137.31532907485962
PDFA,3000,0,6.473107099533081,0.3534519672393799
GPT2,3000,0,0.0,228.00826025009155
Outlines,5000,0,3.3106298446655273,205.09256196022034
PDFA,5000,0,6.3700034618377686,0.5928685665130615
GPT2,5000,0,0.0,360.8390529155731
Outlines,50,1,3.4088990688323975,2.615063428878784
PDFA,50,1,6.568037509918213,0.007134675979614258
GPT2,50,1,0.0,3.7885279655456543
Outlines,1000,1,3.3528521060943604,40.004878282547
PDFA,1000,1,6.768506288528442,0.13805627822875977
GPT2,1000,1,0.0,71.28234887123108
Outlines,3000,1,3.384925603866577,121.2304379940033
PDFA,3000,1,6.614753007888794,0.3874645233154297
GPT2,3000,1,0.0,223.50505924224854
Outlines,5000,1,3.422791004180908,201.0410668849945
PDFA,5000,1,6.7870402336120605,0.5924139022827148
GPT2,5000,1,0.0,366.02420830726624
Outlines,50,2,3.3390800952911377,2.491086483001709
PDFA,50,2,6.696002960205078,0.009161233901977539
GPT2,50,2,0.0,3.436821460723877
Outlines,1000,2,3.394548177719116,41.123947620391846
PDFA,1000,2,6.622254371643066,0.12756705284118652
GPT2,1000,2,0.0,81.31875157356262
Outlines,3000,2,3.401554584503174,119.48578310012817
PDFA,3000,2,6.7117578983306885,0.3591339588165283
GPT2,3000,2,0.0,218.63057589530945
Outlines,5000,2,3.3715007305145264,196.92736053466797
PDFA,5000,2,6.782118082046509,0.5904858112335205
GPT2,5000,2,0.0,362.73902201652527
Outlines,50,3,3.3192615509033203,2.547621011734009
PDFA,50,3,6.928102016448975,0.008985042572021484
GPT2,50,3,0.0,4.344355344772339
Outlines,1000,3,3.368962287902832,40.9202561378479
PDFA,1000,3,6.6446850299835205,0.12406134605407715
GPT2,1000,3,0.0,74.20796537399292
Outlines,3000,3,3.326984405517578,123.4160475730896
PDFA,3000,3,6.737746715545654,0.3618011474609375
GPT2,3000,3,0.0,216.10260915756226
Outlines,5000,3,3.356252908706665,208.93075609207153
PDFA,5000,3,6.756179571151733,0.6331408023834229
GPT2,5000,3,0.0,362.36353611946106
Outlines,50,4,3.5543763637542725,2.684778928756714
PDFA,50,4,7.085712432861328,0.007367372512817383
GPT2,50,4,0.0,3.7353787422180176
Outlines,1000,4,3.513700246810913,40.43312454223633
PDFA,1000,4,6.833420276641846,0.11324548721313477
GPT2,1000,4,0.0,82.29665279388428
Outlines,3000,4,3.349409580230713,121.72467470169067
PDFA,3000,4,6.604472398757935,0.3539731502532959
GPT2,3000,4,0.0,229.6991503238678
Outlines,5000,4,3.352537155151367,198.453852891922
PDFA,5000,4,6.83830714225769,0.5999863147735596
GPT2,5000,4,0.0,365.5231659412384
